"","id","group","median_speed","distance_traveled_mm_p_min","turning_angle","meander","activitytime_TT","act_bouts_TT","pause_length_TT","numb_pauses_TT","centrophobism_moving","centrophobism_sitting","number_of_walks","stripe_deviation"
"92","191_CS_HS","BB_CS_HS",15.8570062030155,791.709265423154,6.9471318395173,0.414790024488993,287.200000047684,5.40000009536743,2.04999995231628,6,-0.283702213279678,0.617760617760618,28,7.47051291667383
"93","192_CS_BvS","BB_CS_BS",13.6143037974351,420.935143689682,7.25404746962806,0.513931228995251,212.699999809265,15.3999998569489,1.5,7,0.0802919708029197,0.422459893048128,13,21.5541429648338
"94","193_CS_JC","BB_CS_JC",15.5107530726868,593.624786662022,7.1404220133163,0.453116313214436,234.900000333786,4.24999988079071,2.10000014305115,25,0.0180319422977846,0.828625235404896,14,18.7941380708517
"95","194_CS_TP","BB_CS_TP",14.1681274381769,563.512015717294,7.0077829448226,0.460784262021853,244.5,11.2999999523163,2.79999995231628,11,0.52317880794702,0.936538461538462,15,33.4719004512227
"96","195_CS_TZ","BB_CS_TZ",14.6663519437285,682.978312554429,7.46124693011753,0.480418040098223,279.499999761581,17.2999999523163,2.14999985694885,10,-0.259555555555556,0.596281540504648,18,13.1299451149424
"97","196_CS_HS","BB_CS_HS",13.5058142393924,573.892685992516,6.27579120270232,0.442208853240885,255.799999713898,7.25000011920929,2.20000004768372,15,-0.462601238685088,-0.382743362831858,15,7.92803180006393
"98","197_CS_BvS","BB_CS_BS",15.2213085009754,539.031382152143,7.42574743275704,0.443035885601615,229.299999713898,7.09999990463257,2.04999995231628,22,0.0206185567010309,0.422434367541766,16,15.4915276674988
"99","198_CS_JC","BB_CS_JC",13.2535657698742,274.934814576661,9.19574347741408,0.639295030134665,148.599999189377,2.29999995231628,2.14999997615814,34,0.137137137137137,0.424287856071964,7,21.0141874199983
"100","199_CS_TP","BB_CS_TP",14.9096469870944,484.66424031201,7.75673005675096,0.476599462289893,200.900000810623,6.60000014305115,3.5,13,0.648612945838838,0.994627266621894,12,26.8279499952733
"101","200_CS_TZ","BB_CS_TZ",16.0680385801493,702.825041046256,6.68848580849302,0.401627950625269,265.10000038147,19.6000001430511,2.19999980926514,11,0.510483135824977,0.601977750309023,22,33.6748834204137
"102","201_CS_HS","BB_CS_HS",14.4832039659653,754.354713938075,6.62876933816972,0.421635591370482,294.599999904633,112.299999952316,2.64999997615814,2,-0.230583501006036,0.467181467181467,30,13.3986182287984
"103","202_CS_BvS","BB_CS_BS",15.2213085009739,539.031382152142,7.4257474327536,0.443035885601516,229.299999713898,7.09999990463257,2.04999995231628,22,0.0206185567010309,0.422434367541766,16,15.4915276674989
